STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FINANCING_SCHEME,Financing scheme,FINANCING_SCHEME_REV,Revenues of financing schemes,FUNCTION,Health function,MODE_PROVISION,Mode of provision,PROVIDER,Health care provider,FACTOR_PROVISION,Factor of provision,ASSET_TYPE,Asset type,PRICE_BASE,Price base,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,CURRENCY,Currency,OBS_STATUS,Observation status,OBS_STATUS2,Observation status 2,OBS_STATUS3,Observation status 3,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,BEL,Belgium,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2009,,10.319,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2021,,11.19,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,1996,,6.012,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,TUR,Türkiye,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,4.117,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2012,,10.672,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2013,,10.674,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2014,,10.729,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2015,,10.75,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2016,,10.659,,,,,,,,,,,,0,Units,1,One
DATAFLOW,OECD.ELS.HD:DSD_SHA@DF_SHA(1.0),Health expenditure and financing,I,JPN,Japan,A,Annual,EXP_HEALTH,Expenditure,PT_B1GQ,Percentage of GDP,_T,Total,_Z,Not application,_T,Total,_T,Total,_T,Total,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,2017,,10.656,,,,,,,,,,,,0,Units,1,One
