"Leeftijd";"Marges";"Perioden";"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Ervaren gezondheid (goed/zeer goed) (%)";"Bewegen/Voldoet aan beweegrichtlijn (%)";"Onder- en overgewicht/Mate van overgewicht/Ernstig overgewicht (%)";"Roker (%)";"Alcoholgebruik/Voldoet aan alcohol richtlijn (%)";"Lichamelijke gezondheid/Eén of meer langdurige aandoeningen (%)";"Psychische klachten (%)";"Veerkracht/(Zeer) lage veerkracht (%)";"Hoog risico op angst of depressie (%)";"Eenzaamheid/Ernstig/zeer ernstig eenzaam (%)"
"18 jaar of ouder";"Waarde";"2022";"Amsterdam";"Amsterdam                               ";"Gemeente  ";"GM0363              ";"    66.8";"    53.8";"    12.8";"    23.6";"    41.8";"    32.8";"    31.6";"    21.6";"    15.1";"    20.7"
"18 jaar of ouder";"Waarde";"2022";"Burgwallen-Oude Zijde";"Amsterdam                               ";"Wijk      ";"WK036300            ";"    71.7";"    63.2";"     8.2";"    29.4";"    25.7";"    28.8";"    33.1";"    20.2";"    15.6";"    20.6"
"18 jaar of ouder";"Waarde";"2022";"Kop Zeedijk";"Amsterdam                               ";"Buurt     ";"BU03630000          ";"    72.4";"    63.1";"     8.6";"    29.5";"    26.1";"    28.5";"    31.8";"    19.8";"    14.7";"    21.1"
"18 jaar of ouder";"Waarde";"2022";"Oude Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630001          ";"    70.9";"    63.0";"     8.1";"    31.1";"    24.5";"    28.5";"    33.6";"    20.7";"    16.7";"    20.9"
"18 jaar of ouder";"Waarde";"2022";"Burgwallen Oost";"Amsterdam                               ";"Buurt     ";"BU03630002          ";"    70.8";"    62.6";"     8.4";"    29.5";"    26.9";"    29.1";"    33.2";"    21.1";"    16.4";"    21.1"
"18 jaar of ouder";"Waarde";"2022";"Nes e.o.";"Amsterdam                               ";"Buurt     ";"BU03630003          ";"    74.6";"    64.8";"     7.8";"    28.3";"    23.8";"    26.9";"    34.8";"    18.3";"    15.3";"    19.9"
"18 jaar of ouder";"Waarde";"2022";"BG-terrein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630004          ";"    72.0";"    63.9";"     7.4";"    28.0";"    24.6";"    29.8";"    33.6";"    19.3";"    14.4";"    18.8"
"18 jaar of ouder";"Waarde";"2022";"Burgwallen-Nieuwe Zijde";"Amsterdam                               ";"Wijk      ";"WK036301            ";"    73.1";"    64.4";"     7.7";"    29.7";"    24.5";"    27.2";"    33.9";"    19.8";"    15.7";"    20.9"
"18 jaar of ouder";"Waarde";"2022";"Stationsplein e.o.";"Amsterdam                               ";"Buurt     ";"BU03630100          ";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"18 jaar of ouder";"Waarde";"2022";"Hemelrijk";"Amsterdam                               ";"Buurt     ";"BU03630101          ";"    72.4";"    64.1";"     8.0";"    30.1";"    24.6";"    27.8";"    33.4";"    19.4";"    15.6";"    21.8"
"18 jaar of ouder";"Waarde";"2022";"Nieuwendijk Noord";"Amsterdam                               ";"Buurt     ";"BU03630102          ";"    71.5";"    63.6";"     7.9";"    31.4";"    25.4";"    27.3";"    34.7";"    21.2";"    16.4";"    22.7"
"18 jaar of ouder";"Waarde";"2022";"Spuistraat Noord";"Amsterdam                               ";"Buurt     ";"BU03630103          ";"    74.6";"    65.1";"     7.0";"    29.0";"    23.1";"    26.2";"    32.8";"    19.5";"    16.0";"    20.2"
"18 jaar of ouder";"Waarde";"2022";"Nieuwe Kerk e.o.";"Amsterdam                               ";"Buurt     ";"BU03630104          ";"    73.7";"    65.3";"     7.6";"    29.9";"    23.8";"    26.2";"    33.0";"    19.8";"    15.8";"    20.5"
"18 jaar of ouder";"Waarde";"2022";"Spuistraat Zuid";"Amsterdam                               ";"Buurt     ";"BU03630105          ";"    72.7";"    64.1";"     8.1";"    29.6";"    24.7";"    28.3";"    34.7";"    19.4";"    15.3";"    20.6"
"18 jaar of ouder";"Waarde";"2022";"Begijnhofbuurt";"Amsterdam                               ";"Buurt     ";"BU03630106          ";"    70.3";"    62.2";"     8.7";"    28.4";"    29.0";"    30.5";"    35.9";"    20.5";"    15.0";"    21.2"
"18 jaar of ouder";"Waarde";"2022";"Kalverdriehoek";"Amsterdam                               ";"Buurt     ";"BU03630107          ";"    75.6";"    65.8";"     6.9";"    30.3";"    21.5";"    24.4";"    33.5";"    18.4";"    15.0";"    19.7"
"18 jaar of ouder";"Waarde";"2022";"Grachtengordel-West";"Amsterdam                               ";"Wijk      ";"WK036302            ";"    76.3";"    63.8";"     7.3";"    23.4";"    24.7";"    28.6";"    26.9";"    15.7";"    11.4";"    17.0"
"18 jaar of ouder";"Waarde";"2022";"Langestraat e.o.";"Amsterdam                               ";"Buurt     ";"BU03630200          ";"    76.4";"    62.5";"     7.4";"    21.8";"    25.6";"    29.9";"    24.5";"    14.7";"    10.3";"    15.6"
"18 jaar of ouder";"Waarde";"2022";"Leliegracht e.o.";"Amsterdam                               ";"Buurt     ";"BU03630201          ";"    76.2";"    64.6";"     7.0";"    24.0";"    24.6";"    27.7";"    28.1";"    16.2";"    12.6";"    18.2"
"18 jaar of ouder";"Waarde";"2022";"Felix Meritisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630202          ";"    76.2";"    63.8";"     7.5";"    24.1";"    24.4";"    28.8";"    27.7";"    16.0";"    11.5";"    17.1"
"18 jaar of ouder";"Waarde";"2022";"Leidsegracht Noord";"Amsterdam                               ";"Buurt     ";"BU03630203          ";"    76.6";"    64.4";"     7.2";"    24.0";"    24.0";"    27.7";"    28.1";"    15.8";"    11.2";"    17.0"
"18 jaar of ouder";"Waarde";"2022";"Grachtengordel-Zuid";"Amsterdam                               ";"Wijk      ";"WK036303            ";"    76.3";"    63.8";"     7.1";"    24.0";"    24.3";"    27.7";"    27.3";"    16.2";"    11.4";"    17.5"
"18 jaar of ouder";"Waarde";"2022";"Spiegelbuurt";"Amsterdam                               ";"Buurt     ";"BU03630300          ";"    77.1";"    64.1";"     6.9";"    23.2";"    24.3";"    27.1";"    26.6";"    15.7";"    10.9";"    17.1"
"18 jaar of ouder";"Waarde";"2022";"Gouden Bocht";"Amsterdam                               ";"Buurt     ";"BU03630301          ";"    76.7";"    63.6";"     6.6";"    25.2";"    24.5";"    26.2";"    28.0";"    15.9";"    11.8";"    19.7"
"18 jaar of ouder";"Waarde";"2022";"Van Loonbuurt";"Amsterdam                               ";"Buurt     ";"BU03630302          ";"    77.0";"    63.1";"     7.0";"    22.3";"    24.0";"    28.7";"    25.0";"    15.0";"    10.1";"    15.1"
"18 jaar of ouder";"Waarde";"2022";"Amstelveldbuurt";"Amsterdam                               ";"Buurt     ";"BU03630303          ";"    76.8";"    63.6";"     7.0";"    21.5";"    24.5";"    29.6";"    24.4";"    14.9";"     9.9";"    14.9"
"18 jaar of ouder";"Waarde";"2022";"Rembrandtpleinbuurt";"Amsterdam                               ";"Buurt     ";"BU03630304          ";"    74.5";"    64.1";"     7.6";"    27.9";"    27.0";"    25.2";"    33.2";"    20.1";"    14.7";"    25.5"
"18 jaar of ouder";"Waarde";"2022";"Reguliersbuurt";"Amsterdam                               ";"Buurt     ";"BU03630305          ";"    74.0";"    66.3";"     6.8";"    32.4";"    21.3";"    23.7";"    35.4";"    20.2";"    16.5";"    22.8"
"18 jaar of ouder";"Waarde";"2022";"Leidsegracht Zuid";"Amsterdam                               ";"Buurt     ";"BU03630306          ";"    76.6";"    63.7";"     7.1";"    24.3";"    23.6";"    28.0";"    27.5";"    15.5";"    11.0";"    16.4"
"18 jaar of ouder";"Waarde";"2022";"Nieuwmarkt/Lastage";"Amsterdam                               ";"Wijk      ";"WK036304            ";"    70.7";"    59.9";"     9.0";"    24.8";"    29.7";"    32.8";"    28.6";"    18.4";"    12.5";"    18.6"
"18 jaar of ouder";"Waarde";"2022";"Oosterdokseiland";"Amsterdam                               ";"Buurt     ";"BU03630400          ";"    73.4";"    60.2";"    10.0";"    23.6";"    30.5";"    29.2";"    28.0";"    17.0";"    12.5";"    19.8"
"18 jaar of ouder";"Waarde";"2022";"Scheepvaarthuisbuurt";"Amsterdam                               ";"Buurt     ";"BU03630401          ";"    76.2";"    63.6";"     7.1";"    24.6";"    23.0";"    28.2";"    26.6";"    16.3";"    11.9";"    14.5"
"18 jaar of ouder";"Waarde";"2022";"Rapenburg";"Amsterdam                               ";"Buurt     ";"BU03630402          ";"    72.7";"    63.3";"     8.0";"    26.8";"    26.7";"    29.0";"    30.4";"    18.7";"    13.9";"    20.1"
"18 jaar of ouder";"Waarde";"2022";"Lastage";"Amsterdam                               ";"Buurt     ";"BU03630403          ";"    73.5";"    61.6";"     8.1";"    24.4";"    27.1";"    30.9";"    27.7";"    17.5";"    11.9";"    16.9"
"18 jaar of ouder";"Waarde";"2022";"Nieuwmarkt";"Amsterdam                               ";"Buurt     ";"BU03630404          ";"    64.6";"    55.7";"    10.8";"    25.3";"    34.4";"    38.8";"    29.4";"    20.2";"    13.6";"    19.6"
"18 jaar of ouder";"Waarde";"2022";"Uilenburg";"Amsterdam                               ";"Buurt     ";"BU03630405          ";"    70.6";"    60.7";"     9.0";"    24.4";"    30.9";"    32.5";"    28.5";"    18.8";"    12.7";"    19.6"
