"Wijken en buurten";"Inkomen/Inkomen van personen/Aantal inkomensontvangers   (aantal)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inkomensontvanger  (x 1 000 euro)";"Inkomen/Inkomen van personen/Gemiddeld inkomen per inwoner  (x 1 000 euro)";"Inkomen/Inkomen van personen/40% personen met laagste inkomen (%)";"Inkomen/Inkomen van personen/20% personen met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Gem. gestandaardiseerd inkomen van huish (x 1 000 euro)";"Inkomen/Inkomen van huishoudens/40% huishoudens met laagste inkomen (%)";"Inkomen/Inkomen van huishoudens/20% huishoudens met hoogste inkomen (%)";"Inkomen/Inkomen van huishoudens/Huishoudens met een laag inkomen (%)";"Inkomen/Inkomen van huishoudens/Huish. onder of rond sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 110% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Huishoudens tot 120% van sociaal minimum (%)";"Inkomen/Inkomen van huishoudens/Mediaan vermogen van particuliere huish. (x 1 000 euro)"
"Amsterdam";"  708900";"    43.9";"    36.5";"    39.8";"    25.4";"    36.8";"    50.0";"    18.1";"     6.2";"    12.1";"    16.0";"    18.6";"    12.9"
"Burgwallen-Oude Zijde";"    4000";"    40.2";"    36.9";"    41.5";"    23.2";"    31.8";"    60.4";"    11.6";"     9.8";"    12.3";"    15.0";"    16.9";"     4.3"
"Kop Zeedijk";"    1000";"       .";"       .";"    37.3";"    25.7";"       .";"    57.5";"    10.9";"    10.4";"    12.3";"    13.6";"    15.3";"     6.7"
"Oude Kerk e.o.";"     600";"       .";"       .";"    44.9";"    21.0";"       .";"    65.2";"    11.1";"    11.9";"    15.5";"    20.2";"    23.3";"     3.9"
"Burgwallen Oost";"    1400";"       .";"       .";"    43.9";"    19.4";"       .";"    63.1";"    10.7";"    10.9";"    12.9";"    16.0";"    17.5";"     2.9"
"Nes e.o.";"     300";"       .";"       .";"    35.9";"    31.3";"       .";"    44.0";"    18.1";"     4.4";"     5.9";"     7.8";"    10.7";"    12.4"
"BG-terrein e.o.";"     600";"       .";"       .";"    42.4";"    25.8";"       .";"    62.4";"    11.8";"     6.8";"    11.2";"    13.8";"    15.1";"     3.4"
"Burgwallen-Nieuwe Zijde";"    3700";"    44.3";"    40.9";"    36.8";"    27.9";"    36.2";"    55.0";"    13.8";"     8.3";"     9.5";"    12.4";"    14.2";"     6.4"
"Stationsplein e.o.";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Hemelrijk";"     500";"       .";"       .";"    37.5";"    28.1";"       .";"    52.5";"    12.8";"    10.0";"    11.9";"    13.5";"    14.5";"    10.1"
"Nieuwendijk Noord";"     400";"       .";"       .";"    36.0";"    22.8";"       .";"    59.8";"     9.8";"    10.3";"    10.7";"    13.5";"    14.6";"     4.3"
"Spuistraat Noord";"     800";"       .";"       .";"    34.3";"    28.0";"       .";"    52.7";"    16.3";"     7.9";"     7.5";"    10.5";"    11.9";"     6.7"
"Nieuwe Kerk e.o.";"     700";"       .";"       .";"    38.8";"    28.1";"       .";"    53.9";"    14.3";"     9.0";"     9.2";"    11.3";"    13.9";"     5.3"
"Spuistraat Zuid";"     700";"       .";"       .";"    39.3";"    29.9";"       .";"    54.5";"    16.0";"     8.5";"    12.2";"    16.3";"    17.5";"    10.1"
"Begijnhofbuurt";"     400";"       .";"       .";"    35.0";"    25.8";"       .";"    63.9";"    10.1";"     5.5";"     8.3";"    12.1";"    15.6";"     6.2"
"Kalverdriehoek";"     300";"       .";"       .";"    35.8";"    33.0";"       .";"    48.4";"    14.4";"     4.8";"     4.8";"     7.2";"     9.0";"     2.9"
"Grachtengordel-West";"    5400";"    73.1";"    64.0";"    32.2";"    39.1";"    61.4";"    39.2";"    29.7";"     7.2";"     7.4";"     8.8";"    10.1";"    88.8"
"Langestraat e.o.";"    1600";"       .";"       .";"    31.2";"    39.6";"       .";"    36.5";"    31.3";"     6.6";"     6.6";"     8.1";"     9.5";"   210.1"
"Leliegracht e.o.";"    1500";"       .";"       .";"    34.4";"    38.3";"       .";"    41.2";"    28.8";"     8.4";"     8.6";"     9.7";"    10.7";"    64.4"
"Felix Meritisbuurt";"    1800";"       .";"       .";"    30.8";"    39.5";"       .";"    38.2";"    29.3";"     6.6";"     7.8";"     9.1";"    10.4";"    72.6"
"Leidsegracht Noord";"     600";"       .";"       .";"    33.7";"    38.5";"       .";"    44.2";"    28.8";"     7.7";"     6.0";"     7.7";"     9.3";"    59.4"
"Grachtengordel-Zuid";"    4700";"    74.4";"    64.7";"    30.5";"    38.2";"    59.9";"    38.8";"    27.4";"     5.6";"     5.9";"     6.9";"     8.1";"    51.6"
"Spiegelbuurt";"     700";"       .";"       .";"    27.8";"    42.6";"       .";"    37.2";"    30.9";"     7.0";"     4.9";"     5.8";"     7.4";"    95.5"
"Gouden Bocht";"     100";"       .";"       .";"    24.6";"    42.9";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"Van Loonbuurt";"    1200";"       .";"       .";"    33.8";"    36.9";"       .";"    36.8";"    28.3";"     4.2";"     5.3";"     6.6";"     7.4";"   120.1"
"Amstelveldbuurt";"    1300";"       .";"       .";"    30.8";"    39.5";"       .";"    37.0";"    30.8";"     5.4";"     6.4";"     7.4";"     8.8";"   172.9"
"Rembrandtpleinbuurt";"     500";"       .";"       .";"    24.2";"    38.4";"       .";"    40.5";"    17.0";"     5.0";"     5.6";"     6.5";"     7.1";"     5.3"
"Reguliersbuurt";"     300";"       .";"       .";"    39.0";"    24.1";"       .";"    57.3";"    13.4";"     9.5";"    10.0";"    11.0";"    11.5";"     1.7"
"Leidsegracht Zuid";"     500";"       .";"       .";"    27.4";"    40.4";"       .";"    36.7";"    30.7";"     6.0";"     6.6";"     7.4";"     9.1";"   106.3"
"Nieuwmarkt/Lastage";"    8300";"    50.3";"    44.8";"    36.4";"    30.1";"    40.8";"    50.5";"    18.3";"     6.2";"    11.7";"    15.5";"    17.6";"    27.5"
"Oosterdokseiland";"     400";"       .";"       .";"    22.5";"    47.8";"       .";"    28.3";"    34.1";"     3.2";"     4.9";"     7.3";"     8.5";"    27.0"
"Scheepvaarthuisbuurt";"     600";"       .";"       .";"    34.0";"    34.5";"       .";"    42.8";"    22.3";"     5.8";"     6.3";"     6.9";"     7.7";"    42.0"
"Rapenburg";"     700";"       .";"       .";"    38.4";"    33.9";"       .";"    48.7";"    20.3";"     7.7";"    10.5";"    13.3";"    15.6";"    20.0"
"Lastage";"     900";"       .";"       .";"    34.7";"    31.3";"       .";"    46.7";"    18.3";"     6.6";"    10.3";"    12.5";"    13.9";"    36.2"
"Nieuwmarkt";"    1400";"       .";"       .";"    43.7";"    20.6";"       .";"    63.5";"    12.1";"     8.6";"    18.1";"    25.3";"    27.9";"    16.2"
"Uilenburg";"    1100";"       .";"       .";"    34.0";"    34.0";"       .";"    46.3";"    21.9";"     5.2";"    11.1";"    14.4";"    16.5";"    44.5"
"Valkenburg";"    1000";"       .";"       .";"    35.7";"    33.3";"       .";"    47.3";"    19.5";"     4.6";"    11.1";"    14.4";"    16.3";"    52.7"
"Zuiderkerkbuurt";"    1400";"       .";"       .";"    38.8";"    25.1";"       .";"    55.0";"    16.5";"     6.6";"    12.6";"    16.5";"    19.5";"    21.7"
"Waterloopleinbuurt";"     700";"       .";"       .";"    32.9";"    27.6";"       .";"    52.0";"    13.7";"     4.6";"    10.2";"    14.5";"    16.4";"    26.6"
